iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
KOR,Asia,South Korea,2021-01-01,62593,824,955.857,942,25,21.286,1220.013,16.061,18.631,18.361,0.487,0.415,0.88,,,,,,,,,48849,4092391,79.766,0.952,44260,0.863,0.0216,46.3,people tested,,,,,,,,,,,,,,66.2,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-02,63244,651,910.286,962,20,22,1232.702,12.689,17.743,18.751,0.39,0.429,0.88,,,,,,,,,31021,4123412,80.37,0.605,44430,0.866,0.0205,48.8,people tested,,,,,,,,,,,,,,67.59,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-03,64264,1020,940.571,981,19,23.143,1252.583,19.881,18.333,19.121,0.37,0.451,0.96,,,,,,,,,30954,4154366,80.974,0.603,44990,0.877,0.0209,47.8,people tested,,,,,,,,,,,,,,67.59,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,171.8,0.06,-1.55,3.348589491
KOR,Asia,South Korea,2021-01-04,64979,715,893.429,1007,26,21.143,1266.519,13.936,17.414,19.628,0.507,0.412,0.9,,,,,,,,,31510,4185876,81.588,0.614,45350,0.884,0.0197,50.8,people tested,,,,,,,,,,,,,,67.59,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-05,65818,839,863.571,1027,20,21.143,1282.872,16.353,16.832,20.017,0.39,0.412,0.86,,,,,,,,,59734,4245610,82.752,1.164,45484,0.887,0.019,52.7,people tested,,,,,,,,,,,,,,67.59,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-06,66686,868,849.429,1046,19,20.857,1299.791,16.918,16.556,20.388,0.37,0.407,0.83,,,,,,,,,67176,4312786,84.061,1.309,46434,0.905,0.0183,54.7,people tested,,,,,,,,,,,,,,67.59,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-07,67358,672,798.429,1081,35,23.429,1312.889,13.098,15.562,21.07,0.682,0.457,0.78,,,,,,,,,65261,4378047,85.333,1.272,47786,0.931,0.0167,59.9,people tested,,,,,,,,,,,,,,63.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-08,67999,641,772.286,1100,19,22.571,1325.383,12.494,15.053,21.44,0.37,0.44,0.76,,,,,,,,,61505,4439552,86.532,1.199,49594,0.967,0.0156,64.2,people tested,,,,,,,,,,,,,,63.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-09,68664,665,774.286,1125,25,23.286,1338.344,12.962,15.092,21.928,0.487,0.454,0.77,,,,,,,,,64141,4503693,87.782,1.25,54326,1.059,0.0143,70.2,people tested,,,,,,,,,,,,,,63.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,,,,
KOR,Asia,South Korea,2021-01-10,69114,450,692.857,1140,15,22.714,1347.115,8.771,13.505,22.22,0.292,0.443,0.75,,,,,,,,,28317,4532010,88.334,0.552,53949,1.052,0.0128,77.9,people tested,,,,,,,,,,,,,,63.89,51305184,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,-39.8,-0.01,-3.3,-0.775750068
